name_en,name_bn,short_name,institution_type,division,district,upazila,address,phone,email,website,established_year,education_level,education_board
Dhaka University,ঢাকা বিশ্ববিদ্যালয়,DU,university,Dhaka,Dhaka,Dhaka,"Nilkhet Road, Dhaka 1000",+88029663641,info@du.ac.bd,https://www.du.ac.bd,1921,graduate,UGC
BUET,বুয়েট,BUET,university,Dhaka,Dhaka,Dhaka,"Pollock Bazaar, Dhaka 1000",+88029666650,info@buet.ac.bd,https://www.buet.ac.bd,1912,graduate,UGC
Dhaka College,ঢাকা কলেজ,DC,college,Dhaka,Dhaka,Dhaka,"New Market, Dhaka 1205",+88029555197,info@dhakacollege.edu.bd,https://dhakacollege.edu.bd,1841,higher_secondary,Dhaka Board
Notre Dame College,নটর ডেম কলেজ,NDC,college,Dhaka,Dhaka,Motijheel,"Arambagh, Motijheel, Dhaka",+88029550781,ndc1949@yahoo.com,https://www.notredamecollege-dhaka.com,1949,higher_secondary,Dhaka Board
Rajshahi University,রাজশাহী বিশ্ববিদ্যালয়,RU,university,Rajshahi,Rajshahi,Rajshahi,"University Road, Rajshahi 6205",+880721750041,vcoffice@ru.ac.bd,https://www.ru.ac.bd,1953,graduate,UGC
Chittagong University,চট্টগ্রাম বিশ্ববিদ্যালয়,CU,university,Chittagong,Chittagong,Hathazari,"University Campus, Hathazari",+880312260000,vc@cu.ac.bd,https://www.cu.ac.bd,1966,graduate,UGC
Jahangirnagar University,জাহাঙ্গীরনগর বিশ্ববিদ্যালয়,JU,university,Dhaka,Dhaka,Savar,"Savar, Dhaka 1342",+88027795052,registrar@juniv.edu,https://www.juniv.edu,1970,graduate,UGC
North South University,নর্থ সাউথ বিশ্ববিদ্যালয়,NSU,university,Dhaka,Dhaka,Bashundhara,"Bashundhara, Dhaka 1229",+880255668200,info@northsouth.edu,https://www.northsouth.edu,1992,graduate,UGC
BRAC University,ব্র্যাক বিশ্ববিদ্যালয়,BRACU,university,Dhaka,Dhaka,Mohakhali,"66 Mohakhali, Dhaka 1212",+88029882655,info@bracu.ac.bd,https://www.bracu.ac.bd,2001,graduate,UGC
Khulna University,খুলনা বিশ্ববিদ্যালয়,KU,university,Khulna,Khulna,Khulna,"Sher-e-Bangla Road, Khulna",+880412240000,vc@ku.ac.bd,https://www.ku.ac.bd,1991,graduate,UGC
Sylhet Agricultural University,সিলেট কৃষি বিশ্ববিদ্যালয়,SAU,university,Sylhet,Sylhet,Sylhet,"Tilagor, Sylhet 3100",+880821614163,vc@sau.ac.bd,https://www.sau.ac.bd,2006,graduate,UGC
Islamic University,ইসলামী বিশ্ববিদ্যালয়,IU,university,Khulna,Kushtia,Kushtia,"Shantidanga, Kushtia",+88071730204,vc@iu.ac.bd,https://www.iu.ac.bd,1979,graduate,UGC
Comilla University,কুমিল্লা বিশ্ববিদ্যালয়,CoU,university,Chittagong,Comilla,Comilla,"Kotbari, Comilla",+88081765870,vc@cou.ac.bd,https://www.cou.ac.bd,2006,graduate,UGC
Jagannath University,জগন্নাথ বিশ্ববিদ্যালয়,JnU,university,Dhaka,Dhaka,Sadarghat,"9-10 Chittaranjan Avenue, Dhaka",+880294711200,registrar@jnu.ac.bd,https://www.jnu.ac.bd,1858,graduate,UGC
Mawlana Bhashani Science and Technology University,মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,MBSTU,university,Dhaka,Tangail,Santosh,"Santosh, Tangail 1902",+880922344600,vc@mbstu.ac.bd,https://www.mbstu.ac.bd,1997,graduate,UGC
Bangladesh Agricultural University,বাংলাদেশ কৃষি বিশ্ববিদ্যালয়,BAU,university,Mymensingh,Mymensingh,Mymensingh,"New Airport Road, Mymensingh 2202",+8809155400,vcoffice@bau.edu.bd,https://www.bau.edu.bd,1961,graduate,UGC
Shahjalal University of Science and Technology,শাহজালাল বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,SUST,university,Sylhet,Sylhet,Sylhet,"Kumarpara, Sylhet",+880821713491,vc@sust.edu,https://www.sust.edu,1986,graduate,UGC
Hajee Mohammad Danesh Science and Technology University,হাজী মোহাম্মদ দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,HSTU,university,Rangpur,Dinajpur,Birganj,"Dinajpur 5200",+88053161618,vc@hstu.ac.bd,https://www.hstu.ac.bd,1999,graduate,UGC
Patuakhali Science and Technology University,পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,PSTU,university,Barisal,Patuakhali,Dumki,"Dumki, Patuakhali 8602",+880442761220,vc@pstu.ac.bd,https://www.pstu.ac.bd,2000,graduate,UGC
Sher-e-Bangla Agricultural University,শের-ই-বাংলা কৃষি বিশ্ববিদ্যালয়,SAU,university,Dhaka,Dhaka,Sher-e-Bangla Nagar,"Sher-e-Bangla Nagar, Dhaka",+88029117048,vc@sau.edu.bd,https://www.sau.edu.bd,2001,graduate,UGC
Varendra University,ভারেন্দ্র বিশ্ববিদ্যালয়,VU,university,Rajshahi,Rajshahi,Rajshahi,"Police Line Road, Rajshahi",+880721811188,info@vu.edu.bd,https://www.vu.edu.bd,2012,graduate,UGC
Premier University,প্রিমিয়ার বিশ্ববিদ্যালয়,PU,university,Chittagong,Chittagong,Agrabad,"1/A O.R. Nizam Road, Chittagong",+88031722888,info@puc.ac.bd,https://www.puc.ac.bd,2006,graduate,UGC
International Islamic University Chittagong,আন্তর্জাতিক ইসলামী বিশ্ববিদ্যালয় চট্টগ্রাম,IIUC,university,Chittagong,Chittagong,Kumira,"Kumira, Chittagong 4310",+880317400000,info@iiuc.ac.bd,https://www.iiuc.ac.bd,1995,graduate,UGC
United International University,ইউনাইটেড ইন্টারন্যাশনাল ইউনিভার্সিটি,UIU,university,Dhaka,Dhaka,Dhanmondi,"House 80, Road 8/A, Satmasjid Road, Dhanmondi, Dhaka",+88029675056,info@uiu.ac.bd,https://www.uiu.ac.bd,2003,graduate,UGC
East West University,ইস্ট ওয়েস্ট বিশ্ববিদ্যালয়,EWU,university,Dhaka,Dhaka,Dhanmondi,"A/2 Jahurul Islam Avenue, Banani, Dhaka 1213",+88029893925,info@ewubd.edu,https://www.ewubd.edu,1996,graduate,UGC
American International University-Bangladesh,আমেরিকান ইন্টারন্যাশনাল ইউনিভার্সিটি-বাংলাদেশ,AIUB,university,Dhaka,Dhaka,Kuratoli,"Kuratoli, Kuril, Dhaka 1229",+88029843788,info@aiub.edu,https://www.aiub.edu,1994,graduate,UGC
Independent University Bangladesh,ইন্ডিপেন্ডেন্ট ইউনিভার্সিটি বাংলাদেশ,IUB,university,Dhaka,Dhaka,Bashundhara,"Plot 16 Block B, Bashundhara R/A, Dhaka",+88028442042,info@iub.edu.bd,https://www.iub.edu.bd,1993,graduate,UGC
Ahsanullah University of Science and Technology,আহসানউল্লাহ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,AUST,university,Dhaka,Dhaka,Tejgaon,"141-142 Love Road, Tejgaon Industrial Area, Dhaka",+88029874093,info@aust.edu,https://www.aust.edu,1995,graduate,UGC
Military Institute of Science and Technology,মিলিটারি ইনস্টিটিউট অফ সায়েন্স অ্যান্ড টেকনোলজি,MIST,university,Dhaka,Dhaka,Mirpur,"Mirpur Cantonment, Dhaka 1216",+88029036351,info@mist.ac.bd,https://www.mist.ac.bd,1998,graduate,UGC
Bangladesh University of Professionals,বাংলাদেশ ইউনিভার্সিটি অফ প্রফেশনালস,BUP,university,Dhaka,Dhaka,Mirpur,"Mirpur Cantonment, Dhaka 1216",+88029032091,vc@bup.edu.bd,https://www.bup.edu.bd,2008,graduate,UGC
Rajshahi College,রাজশাহী কলেজ,Rajshahi College,college,Rajshahi,Rajshahi,Rajshahi,"Rajshahi College Road, Rajshahi",+880721772071,principal@rajshahicollege.gov.bd,https://www.rajshahicollege.gov.bd,1873,higher_secondary,Rajshahi Board
Carmichael College,কারমাইকেল কলেজ,Carmichael College,college,Rangpur,Rangpur,Rangpur,"Lalbag, Rangpur",+88052161168,principal@carmichaelcollege.gov.bd,https://www.carmichaelcollege.gov.bd,1916,higher_secondary,Dinajpur Board
Eden Mohila College,ইডেন মহিলা কলেজ,Eden College,college,Dhaka,Dhaka,Dhaka,"Azimpur, Dhaka 1205",+88029610941,principal@eden.edu.bd,https://www.edencollege.edu.bd,1873,higher_secondary,Dhaka Board
Siddheswari Girls College,সিদ্ধেশ্বরী মহিলা কলেজ,Siddheswari College,college,Dhaka,Dhaka,Dhaka,"72 New Bailey Road, Dhaka 1000",+88029335962,info@siddheswaricollege.edu.bd,https://www.siddheswaricollege.edu.bd,1956,higher_secondary,Dhaka Board
Chittagong College,চট্টগ্রাম কলেজ,Chittagong College,college,Chittagong,Chittagong,Chittagong,"College Road, Chittagong",+88031616642,principal@chittagongcollege.gov.bd,https://www.chittagongcollege.gov.bd,1869,higher_secondary,Chittagong Board
Comilla Victoria Government College,কুমিল্লা ভিক্টোরিয়া সরকারি কলেজ,Victoria College,college,Chittagong,Comilla,Comilla,"Comilla 3500",+88081768656,principal@victoriacollege.edu.bd,https://www.victoriacollege.edu.bd,1899,higher_secondary,Comilla Board
Government Saadat College,সরকারি সাদাত কলেজ,Saadat College,college,Dhaka,Tangail,Karimganj,"Karimganj, Tangail",+880922923014,principal@saadatcollege.gov.bd,https://www.saadatcollege.gov.bd,1926,higher_secondary,Dhaka Board
Sirajganj Government College,সিরাজগঞ্জ সরকারি কলেজ,Sirajganj Govt College,college,Rajshahi,Sirajganj,Sirajganj,"Sirajganj 6700",+88075164135,principal@sirajganjcollege.gov.bd,https://www.sirajganjcollege.gov.bd,1940,higher_secondary,Rajshahi Board
Ananda Mohan College,আনন্দ মোহন কলেজ,AM College,college,Sylhet,Sylhet,Mymensingh,"College Road, Mymensingh",+8809152350,principal@anandamohancollege.edu.bd,https://www.anandamohancollege.edu.bd,1908,higher_secondary,Sylhet Board
Government Azizul Haque College,সরকারি আজিজুল হক কলেজ,Azizul Haque College,college,Rajshahi,Bogra,Bogra,"Bogra 5800",+8805176845,principal@azizulhaquecollege.gov.bd,https://www.azizulhaquecollege.gov.bd,1939,higher_secondary,Rajshahi Board
Khulna Government College,খুলনা সরকারি কলেজ,Khulna College,college,Khulna,Khulna,Khulna,"Hasan Bag, Khulna",+88041273305,principal@khulnacollege.gov.bd,https://www.khulnacollege.gov.bd,1948,higher_secondary,Jessore Board
Brojomohun College,ব্রজমোহন কলেজ,BM College,college,Barisal,Barisal,Barisal,"College Road, Barisal",+8804312173524,principal@bmcollege.gov.bd,https://www.bmcollege.gov.bd,1889,higher_secondary,Barisal Board
Sylhet Government College,সিলেট সরকারি কলেজ,Sylhet College,college,Sylhet,Sylhet,Sylhet,"College Road, Sylhet",+880821713073,principal@sylhetcollege.gov.bd,https://www.sylhetcollege.gov.bd,1939,higher_secondary,Sylhet Board
Viqarunnisa Noon School and College,ভিকারুননিসা নূন স্কুল এন্ড কলেজ,VNSC,school,Dhaka,Dhaka,Dhaka,"1/C New Bailey Road, Dhaka 1000",+88029332776,info@vnc.edu.bd,https://www.vnc.edu.bd,1952,secondary,Dhaka Board
Ideal School and College,আইডিয়াল স্কুল এন্ড কলেজ,Ideal,school,Dhaka,Dhaka,Motijheel,"Motijheel, Dhaka",+88029555242,info@idealschoolcollege.edu.bd,https://www.idealschoolcollege.edu.bd,1965,secondary,Dhaka Board
Rajuk Uttara Model College,রাজউক উত্তরা মডেল কলেজ,RUMC,school,Dhaka,Dhaka,Uttara,"Uttara Sector 6, Dhaka 1230",+88028937284,info@rumc.edu.bd,https://www.rumc.edu.bd,1994,secondary,Dhaka Board
Adamjee Cantonment Public School,আদমজী ক্যান্টনমেন্ট পাবলিক স্কুল,Adamjee,school,Dhaka,Dhaka,Dhaka,"Dhaka Cantonment, Dhaka",+88029878953,info@adamjeeschool.edu.bd,https://www.adamjeeschool.edu.bd,1960,secondary,Dhaka Board
Holy Cross Girls High School,হলি ক্রস গার্লস হাই স্কুল,Holy Cross,school,Dhaka,Dhaka,Dhaka,"Tejgaon, Dhaka",+88029825412,info@holycrossschool.edu.bd,https://www.holycrossschool.edu.bd,1910,secondary,Dhaka Board
St. Joseph Higher Secondary School,সেন্ট জোসেফ হায়ার সেকেন্ডারি স্কুল,St. Joseph,school,Dhaka,Dhaka,Dhaka,"35 Asad Avenue, Dhaka 1207",+88029113195,info@stjosephschool.edu.bd,https://www.stjosephschool.edu.bd,1954,higher_secondary,Dhaka Board
Chittagong Cantonment Public College,চট্টগ্রাম ক্যান্টনমেন্ট পাবলিক কলেজ,CCPC,school,Chittagong,Chittagong,Chittagong,"Chittagong Cantonment",+880312550100,info@ccpc.edu.bd,https://www.ccpc.edu.bd,1960,higher_secondary,Chittagong Board
Faujdarhat Cadet College,ফৌজদারহাট ক্যাডেট কলেজ,Faujdarhat,school,Chittagong,Chittagong,Faujdarhat,"Faujdarhat, Chittagong",+88031750062,info@fcc.army.mil.bd,https://www.fcc.army.mil.bd,1958,higher_secondary,Chittagong Board
Rangpur Cadet College,রংপুর ক্যাডেট কলেজ,Rangpur Cadet,school,Rangpur,Rangpur,Rangpur,"Rangpur Cadet College",+88052163508,info@rpcc.army.mil.bd,https://www.rpcc.army.mil.bd,1958,higher_secondary,Dinajpur Board
Mymensingh Girls Cadet College,ময়মনসিংহ গার্লস ক্যাডেট কলেজ,MGCC,school,Mymensingh,Mymensingh,Mymensingh,"Mymensingh Cantonment",+8809128513,info@mgcc.army.mil.bd,https://www.mgcc.army.mil.bd,1984,higher_secondary,Mymensingh Board
Dhaka Polytechnic Institute,ঢাকা পলিটেকনিক ইনস্টিটিউট,DPI,polytechnic,Dhaka,Dhaka,Tejgaon,"Tejgaon Industrial Area, Dhaka",+88029144487,principal@dpi.gov.bd,https://www.dpi.gov.bd,1955,technical,Dhaka Technical
Chittagong Polytechnic Institute,চট্টগ্রাম পলিটেকনিক ইনস্টিটিউট,CPI,polytechnic,Chittagong,Chittagong,Chittagong,"Nasirabad, Chittagong",+88031680085,principal@cpi.gov.bd,https://www.cpi.gov.bd,1960,technical,Chittagong Technical
Rajshahi Polytechnic Institute,রাজশাহী পলিটেকনিক ইনস্টিটিউট,RPI,polytechnic,Rajshahi,Rajshahi,Rajshahi,"Shaheed A.H.M Kamaruzzaman Road, Rajshahi",+880721750616,principal@rpi.gov.bd,https://www.rpi.gov.bd,1963,technical,Rajshahi Technical
Khulna Polytechnic Institute,খুলনা পলিটেকনিক ইনস্টিটিউট,KPI,polytechnic,Khulna,Khulna,Khulna,"Khalishpur, Khulna",+880412762240,principal@kpi.gov.bd,https://www.kpi.gov.bd,1963,technical,Khulna Technical
Sylhet Polytechnic Institute,সিলেট পলিটেকনিক ইনস্টিটিউট,SPI,polytechnic,Sylhet,Sylhet,Sylhet,"Sylhet 3100",+880821713044,principal@spi.gov.bd,https://www.spi.gov.bd,1957,technical,Sylhet Technical
Dinajpur Polytechnic Institute,দিনাজপুর পলিটেকনিক ইনস্টিটিউট,DPI,polytechnic,Rangpur,Dinajpur,Dinajpur,"Dinajpur 5200",+88053164742,principal@dinajpurpi.gov.bd,https://www.dinajpurpi.gov.bd,1964,technical,Dinajpur Technical
Barisal Polytechnic Institute,বরিশাল পলিটেকনিক ইনস্টিটিউট,BPI,polytechnic,Barisal,Barisal,Barisal,"Barisal 8200",+8804312173534,principal@bpi.gov.bd,https://www.bpi.gov.bd,1962,technical,Barisal Technical
Bangladesh University of Textiles,বাংলাদেশ ইউনিভার্সিটি অফ টেক্সটাইলস,BUTEX,institute,Dhaka,Dhaka,Tejgaon,"92 Shaheed Tajuddin Ahmed Ave, Tejgaon, Dhaka",+88029117048,info@butex.edu.bd,https://www.butex.edu.bd,2005,technical,UGC
Mawlana Bhashani Science and Technology University,মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়,MBSTU,institute,Dhaka,Tangail,Santosh,"Santosh, Tangail 1902",+880922344600,vc@mbstu.ac.bd,https://www.mbstu.ac.bd,1997,technical,UGC
Bangabandhu Sheikh Mujibur Rahman Maritime University,বঙ্গবন্ধু শেখ মুজিবুর রহমান মেরিটাইম ইউনিভার্সিটি,BSMRMU,institute,Chittagong,Chittagong,Chittagong,"Plot-14, Embankment Drive Road, Chittagong",+880312502601,info@bsmrmu.edu.bd,https://www.bsmrmu.edu.bd,2013,maritime,UGC
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,বঙ্গবন্ধু শেখ মুজিবুর রহমান অ্যাভিয়েশন অ্যান্ড অ্যারোস্পেস বিশ্ববিদ্যালয়,BSMRAAU,institute,Dhaka,Dhaka,Kurmitola,"Kurmitola, Dhaka",+88029032091,info@bsmraau.edu.bd,https://www.bsmraau.edu.bd,2019,aviation,UGC
