BOARD_NAME,DIST_NAME,THANA_NAME,EIIN,COLLEGE_NA,SHIFT,VERSION,GROUP
DHAKA,DHAKA MAHANAGARI,BADDA,107825,BADDA GIRLS' HIGH SCHOOL AND COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,107825,BADDA GIRLS' HIGH SCHOOL AND COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,107825,BADDA GIRLS' HIGH SCHOOL AND COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,107974,DHAKA IMPERIAL COLLEGE,Morning,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,107974,DHAKA IMPERIAL COLLEGE,Morning,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,107974,DHAKA IMPERIAL COLLEGE,Morning,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,108021,SATARKUL SCHOOL & COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,108021,SATARKUL SCHOOL & COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,108021,SATARKUL SCHOOL & COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,108022,ANANDA NAGAR ADARSHA SCHOOL AND COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,108022,ANANDA NAGAR ADARSHA SCHOOL AND COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,108022,ANANDA NAGAR ADARSHA SCHOOL AND COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,131904,GULSHAN COMMERCE COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,131945,NATIONAL COLLEGE,Morning,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,131945,NATIONAL COLLEGE,Morning,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,131945,NATIONAL COLLEGE,Morning,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,134219,QUEEN MARY COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,134219,QUEEN MARY COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,134620,HARVARD INTERNATIONAL COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,134620,HARVARD INTERNATIONAL COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,134620,HARVARD INTERNATIONAL COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,136285,UDAYAN IDEAL COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,136285,UDAYAN IDEAL COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,136285,UDAYAN IDEAL COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,136858,MONPURA COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,136858,MONPURA COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,BADDA,136858,MONPURA COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,136913,ROTNOGORVA FARIDA ZAMAN SCHOOL & COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,BADDA,136913,ROTNOGORVA FARIDA ZAMAN SCHOOL & COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,BADDA,136913,ROTNOGORVA FARIDA ZAMAN SCHOOL & COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,107979,DHAKA PRESIDENCY COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,107979,DHAKA PRESIDENCY COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,107979,DHAKA PRESIDENCY COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,134195,MASCOT INNOVATIVE COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,134195,MASCOT INNOVATIVE COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,134195,MASCOT INNOVATIVE COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136579,JATIR JANAK BANGABANDHU SHEIKH MUJIBUR RAHMAN GOVT. COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136579,JATIR JANAK BANGABANDHU SHEIKH MUJIBUR RAHMAN GOVT. COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136579,JATIR JANAK BANGABANDHU SHEIKH MUJIBUR RAHMAN GOVT. COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136844,MILESTONE COLLEGE DAKSHINKHAN,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136844,MILESTONE COLLEGE DAKSHINKHAN,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,136844,MILESTONE COLLEGE DAKSHINKHAN,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,English,Business Studies
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,English,Science
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,English,Humanities
DHAKA,DHAKA MAHANAGARI,DAKSHINKHAN,137368,K C MODEL COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107867,BAWANY SCHOOL & COLLEGE,Morning,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107867,BAWANY SCHOOL & COLLEGE,Morning,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107867,BAWANY SCHOOL & COLLEGE,Morning,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107884,ALHAJ ABDUR RAZZAK ISLAMIA SCHOOL AND COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107884,ALHAJ ABDUR RAZZAK ISLAMIA SCHOOL AND COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107884,ALHAJ ABDUR RAZZAK ISLAMIA SCHOOL AND COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107908,DEMRA COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107908,DEMRA COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107908,DEMRA COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107910,RIZAUL KARIM CHOWDHURY COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107910,RIZAUL KARIM CHOWDHURY COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107910,RIZAUL KARIM CHOWDHURY COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107911,MATUAIL HAJI ABDUL LATIF BHUIYAN COLLEGE,Morning,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107911,MATUAIL HAJI ABDUL LATIF BHUIYAN COLLEGE,Morning,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107911,MATUAIL HAJI ABDUL LATIF BHUIYAN COLLEGE,Morning,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107912,ROKEYA AHSAN COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107912,ROKEYA AHSAN COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107912,ROKEYA AHSAN COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107913,RONGMALA AKBAR MOHILA COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107913,RONGMALA AKBAR MOHILA COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107913,RONGMALA AKBAR MOHILA COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107915,SHAMSUL HOQUE KHAN SCHOOL & COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,107915,SHAMSUL HOQUE KHAN SCHOOL & COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107915,SHAMSUL HOQUE KHAN SCHOOL & COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107916,"SHAHID ZIA GIRLS' SCHOOL AND COLLEGE, JATRABARI",Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,107916,"SHAHID ZIA GIRLS' SCHOOL AND COLLEGE, JATRABARI",Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,107916,"SHAHID ZIA GIRLS' SCHOOL AND COLLEGE, JATRABARI",Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,108481,"A. K. HIGH SCHOOL AND COLLEGE, DANIA",Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,108481,"A. K. HIGH SCHOOL AND COLLEGE, DANIA",Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,108481,"A. K. HIGH SCHOOL AND COLLEGE, DANIA",Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,131457,IDEAL LABORATORY COLLEGE,Day,Bangla,Business Studies
DHAKA,DHAKA MAHANAGARI,DEMRA,131457,IDEAL LABORATORY COLLEGE,Day,Bangla,Humanities
DHAKA,DHAKA MAHANAGARI,DEMRA,131457,IDEAL LABORATORY COLLEGE,Day,Bangla,Science
DHAKA,DHAKA MAHANAGARI,DEMRA,131759,VERSATILE MODEL COLLEGE,Day,Bangla,Humanities
